file1,file2,diff
../results/smartbugs/sGuard/unchecked_low_level_calls/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,True
../results/smartbugs/sGuard/unchecked_low_level_calls/0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4/0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol,False
../results/smartbugs/sGuard/unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,True
../results/smartbugs/sGuard/unchecked_low_level_calls/lotto/lotto.sol,smartbugs-curated/dataset/unchecked_low_level_calls/lotto.sol,True
../results/smartbugs/sGuard/unchecked_low_level_calls/0xa46edd6a9a93feec36576ee5048146870ea2c3ae/0xa46edd6a9a93feec36576ee5048146870ea2c3ae.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0xa46edd6a9a93feec36576ee5048146870ea2c3ae.sol,False
../results/smartbugs/sGuard/unchecked_low_level_calls/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol,False
../results/smartbugs/sGuard/unchecked_low_level_calls/0x2972d548497286d18e92b5fa1f8f9139e5653fd2/0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,True
../results/smartbugs/sGuard/bad_randomness/guess_the_random_number/guess_the_random_number.sol,smartbugs-curated/dataset/bad_randomness/guess_the_random_number.sol,False
../results/smartbugs/sGuard/bad_randomness/old_blockhash/old_blockhash.sol,smartbugs-curated/dataset/bad_randomness/old_blockhash.sol,True
../results/smartbugs/sGuard/bad_randomness/lottery/lottery.sol,smartbugs-curated/dataset/bad_randomness/lottery.sol,False
../results/smartbugs/sGuard/bad_randomness/lucky_doubler/lucky_doubler.sol,smartbugs-curated/dataset/bad_randomness/lucky_doubler.sol,True
../results/smartbugs/sGuard/arithmetic/timelock/timelock.sol,smartbugs-curated/dataset/arithmetic/timelock.sol,True
../results/smartbugs/sGuard/arithmetic/tokensalechallenge/tokensalechallenge.sol,smartbugs-curated/dataset/arithmetic/tokensalechallenge.sol,True
../results/smartbugs/sGuard/denial_of_service/auction/auction.sol,smartbugs-curated/dataset/denial_of_service/auction.sol,True
../results/smartbugs/sGuard/reentrancy/reentrancy_simple/reentrancy_simple.sol,smartbugs-curated/dataset/reentrancy/reentrancy_simple.sol,True
../results/smartbugs/sGuard/reentrancy/etherbank/etherbank.sol,smartbugs-curated/dataset/reentrancy/etherbank.sol,True
../results/smartbugs/sGuard/reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,smartbugs-curated/dataset/reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,True
../results/smartbugs/sGuard/reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,smartbugs-curated/dataset/reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,True
../results/smartbugs/sGuard/reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,smartbugs-curated/dataset/reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,True
../results/smartbugs/sGuard/reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,smartbugs-curated/dataset/reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,True
../results/smartbugs/sGuard/reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,smartbugs-curated/dataset/reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,True
../results/smartbugs/sGuard/reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,smartbugs-curated/dataset/reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,True
../results/smartbugs/sGuard/reentrancy/reentrancy_bonus/reentrancy_bonus.sol,smartbugs-curated/dataset/reentrancy/reentrancy_bonus.sol,True
../results/smartbugs/sGuard/reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,smartbugs-curated/dataset/reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,True
../results/smartbugs/sGuard/reentrancy/reentrancy_cross_function/reentrancy_cross_function.sol,smartbugs-curated/dataset/reentrancy/reentrancy_cross_function.sol,True
../results/smartbugs/sGuard/reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,smartbugs-curated/dataset/reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,True
../results/smartbugs/sGuard/reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,smartbugs-curated/dataset/reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,True
../results/smartbugs/sGuard/reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,smartbugs-curated/dataset/reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,True
../results/smartbugs/sGuard/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,smartbugs-curated/dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,True
../results/smartbugs/sGuard/reentrancy/simple_dao/simple_dao.sol,smartbugs-curated/dataset/reentrancy/simple_dao.sol,True
../results/smartbugs/sGuard/reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,smartbugs-curated/dataset/reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,True
../results/smartbugs/sGuard/reentrancy/spank_chain_payment/spank_chain_payment.sol,smartbugs-curated/dataset/reentrancy/spank_chain_payment.sol,True
../results/smartbugs/sGuard/reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344/0x8c7777c45481dba411450c228cb692ac3d550344.sol,smartbugs-curated/dataset/reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344.sol,True
../results/smartbugs/sGuard/reentrancy/etherstore/etherstore.sol,smartbugs-curated/dataset/reentrancy/etherstore.sol,True
../results/smartbugs/sGuard/reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,smartbugs-curated/dataset/reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,True
../results/smartbugs/sGuard/reentrancy/reentrance/reentrance.sol,smartbugs-curated/dataset/reentrancy/reentrance.sol,True
../results/smartbugs/sGuard/reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,smartbugs-curated/dataset/reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,True
../results/smartbugs/sGuard/reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,smartbugs-curated/dataset/reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,True
../results/smartbugs/sGuard/reentrancy/reentrancy_dao/reentrancy_dao.sol,smartbugs-curated/dataset/reentrancy/reentrancy_dao.sol,True
../results/smartbugs/sGuard/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,smartbugs-curated/dataset/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,True
../results/smartbugs/sGuard/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,smartbugs-curated/dataset/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,True
../results/smartbugs/sGuard/reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31/0x561eac93c92360949ab1f1403323e6db345cbf31.sol,smartbugs-curated/dataset/reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31.sol,True
../results/smartbugs/sGuard/reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,smartbugs-curated/dataset/reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,True
../results/smartbugs/sGuard/reentrancy/modifier_reentrancy/modifier_reentrancy.sol,smartbugs-curated/dataset/reentrancy/modifier_reentrancy.sol,True
../results/smartbugs/sGuard/time_manipulation/ether_lotto/ether_lotto.sol,smartbugs-curated/dataset/time_manipulation/ether_lotto.sol,True
../results/smartbugs/sGuard/time_manipulation/roulette/roulette.sol,smartbugs-curated/dataset/time_manipulation/roulette.sol,False
../results/smartbugs/sGuard/time_manipulation/governmental_survey/governmental_survey.sol,smartbugs-curated/dataset/time_manipulation/governmental_survey.sol,True
../results/smartbugs/sGuard/time_manipulation/lottopollo/lottopollo.sol,smartbugs-curated/dataset/time_manipulation/lottopollo.sol,True
../results/smartbugs/sGuard/front_running/odds_and_evens/odds_and_evens.sol,smartbugs-curated/dataset/front_running/odds_and_evens.sol,True
../results/smartbugs/sGuard/front_running/FindThisHash/FindThisHash.sol,smartbugs-curated/dataset/front_running/FindThisHash.sol,False
../results/smartbugs/sGuard/front_running/eth_tx_order_dependence_minimal/eth_tx_order_dependence_minimal.sol,smartbugs-curated/dataset/front_running/eth_tx_order_dependence_minimal.sol,True
../results/smartbugs/sGuard/other/crypto_roulette/crypto_roulette.sol,smartbugs-curated/dataset/other/crypto_roulette.sol,True
