Contract,Category,SmartShield,sGuard,Aroc,Elysium,TIPS,SmartFix,sGuardPlus
overflow_simple_add.sol,arithmetic,True,False,WIP,True,True,True,True
overflow_single_tx.sol,arithmetic,True,False,WIP,True,True,True,True
timelock.sol,arithmetic,True,True,WIP,True,True,True,True
token.sol,arithmetic,True,False,WIP,True,True,True,True
tokensalechallenge.sol,arithmetic,True,True,WIP,True,True,True,True
blackjack.sol,bad_randomness,True,False,WIP,True,True,False,False
etheraffle.sol,bad_randomness,True,False,WIP,True,True,True,False
guess_the_random_number.sol,bad_randomness,True,True,WIP,True,True,True,False
lottery.sol,bad_randomness,True,True,WIP,True,True,False,True
lucky_doubler.sol,bad_randomness,True,True,WIP,True,True,True,False
old_blockhash.sol,bad_randomness,True,True,WIP,True,True,True,False
random_number_generator.sol,bad_randomness,True,False,WIP,True,True,False,False
smart_billions.sol,bad_randomness,False,False,WIP,True,False,True,False
auction.sol,denial_of_service,True,True,WIP,True,True,True,False
dos_address.sol,denial_of_service,False,False,WIP,True,True,False,False
dos_number.sol,denial_of_service,False,False,WIP,True,True,False,False
dos_simple.sol,denial_of_service,False,False,WIP,True,True,False,True
list_dos.sol,denial_of_service,True,False,WIP,True,True,True,True
send_loop.sol,denial_of_service,True,False,WIP,True,True,False,False
ERC20.sol,front_running,True,False,WIP,True,True,False,False
FindThisHash.sol,front_running,True,True,WIP,True,True,True,False
eth_tx_order_dependence_minimal.sol,front_running,True,True,WIP,True,True,True,False
odds_and_evens.sol,front_running,True,True,WIP,True,True,True,True
crypto_roulette.sol,other,True,True,WIP,False,True,True,False
name_registrar.sol,other,True,False,WIP,True,True,False,False
open_address_lottery.sol,other,True,True,WIP,False,True,True,False
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,reentrancy,True,True,WIP,False,False,True,True
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,reentrancy,True,True,WIP,False,False,True,True
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,reentrancy,True,True,WIP,False,False,True,True
0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,reentrancy,True,True,WIP,False,False,True,True
0x561eac93c92360949ab1f1403323e6db345cbf31.sol,reentrancy,True,True,WIP,False,False,True,True
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,reentrancy,True,True,WIP,True,False,True,False
0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,reentrancy,True,True,WIP,True,False,True,True
0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,reentrancy,True,True,WIP,False,False,True,True
0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,reentrancy,True,True,WIP,True,False,True,True
0x8c7777c45481dba411450c228cb692ac3d550344.sol,reentrancy,True,True,WIP,False,False,True,True
0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,reentrancy,True,True,WIP,True,False,True,True
0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,reentrancy,True,True,WIP,False,False,True,True
0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,reentrancy,True,True,WIP,True,False,True,True
0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,reentrancy,True,True,WIP,False,False,True,True
0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,reentrancy,True,True,WIP,False,False,True,True
0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,reentrancy,True,True,WIP,False,False,True,True
0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,reentrancy,True,True,WIP,False,False,True,True
0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,reentrancy,True,True,WIP,True,False,True,True
0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,reentrancy,True,True,WIP,True,False,True,True
0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,reentrancy,True,True,WIP,True,False,True,True
etherbank.sol,reentrancy,True,True,WIP,True,True,True,True
etherstore.sol,reentrancy,True,True,WIP,True,True,True,True
modifier_reentrancy.sol,reentrancy,True,True,WIP,True,False,True,False
reentrance.sol,reentrancy,True,True,WIP,True,False,True,True
reentrancy_bonus.sol,reentrancy,True,True,WIP,True,False,True,True
reentrancy_cross_function.sol,reentrancy,True,True,WIP,True,False,False,True
reentrancy_dao.sol,reentrancy,True,True,WIP,True,False,True,True
reentrancy_insecure.sol,reentrancy,True,False,WIP,True,False,False,True
reentrancy_simple.sol,reentrancy,True,True,WIP,True,False,True,True
simple_dao.sol,reentrancy,True,True,WIP,True,True,True,True
spank_chain_payment.sol,reentrancy,False,True,WIP,False,False,False,False
short_address_example.sol,short_addresses,True,False,WIP,True,True,False,False
ether_lotto.sol,time_manipulation,True,True,WIP,True,True,True,False
governmental_survey.sol,time_manipulation,True,True,WIP,True,True,False,True
lottopollo.sol,time_manipulation,True,True,WIP,True,True,True,True
roulette.sol,time_manipulation,True,True,WIP,True,True,True,False
timed_crowdsale.sol,time_manipulation,True,False,WIP,True,True,False,False
0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,False
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,unchecked_low_level_calls,True,True,WIP,True,True,False,True
0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,unchecked_low_level_calls,False,False,WIP,True,False,True,False
0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,False
0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,False
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,False
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,True
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
0x4051334adc52057aca763453820cb0e045076ef3.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,False
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,False
0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,False
0x524960d55174d912768678d8c606b4d50b79d7b1.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,False
0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,True
0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,True
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,False
0x663e4229142a27f00bafb5d087e1e730648314c3.sol,unchecked_low_level_calls,False,False,WIP,True,False,True,False
0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
0x7d09edb07d23acb532a82be3da5c17d9d85806b4.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,False
0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol,unchecked_low_level_calls,True,False,WIP,True,False,False,True
0x89c1b3807d4c67df034fffb62f3509561218d30b.sol,unchecked_low_level_calls,True,True,WIP,True,True,False,False
0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,False
0x958a8f594101d2c0485a52319f29b2647f2ebc06.sol,unchecked_low_level_calls,True,False,WIP,True,False,False,True
0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,False
0xa1fceeff3acc57d257b917e30c4df661401d6431.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,False
0xa46edd6a9a93feec36576ee5048146870ea2c3ae.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,False
0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol,unchecked_low_level_calls,True,True,WIP,False,False,False,True
0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,True
0xb37f18af15bafb869a065b61fc83cfc44ed9cc27.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,True
0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,False
0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,True
0xbaa3de6504690efb064420d89e871c27065cdd52.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,True
0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,True
0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
0xd5967fed03e85d1cce44cab284695b41bc675b5c.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,False
0xdb1c55f6926e7d847ddf8678905ad871a68199d2.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
0xe09b1ab8111c2729a76f16de96bc86a7af837928.sol,unchecked_low_level_calls,True,False,WIP,True,False,True,False
0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
0xe894d54dca59cb53fe9cbc5155093605c7068220.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,False
0xec329ffc97d75fe03428ae155fc7793431487f63.sol,unchecked_low_level_calls,True,False,WIP,True,False,True,True
0xf2570186500a46986f3139f65afedc2afe4f445d.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,False
0xf29ebe930a539a60279ace72c707cba851a57707.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol,unchecked_low_level_calls,True,True,WIP,True,False,False,True
etherpot_lotto.sol,unchecked_low_level_calls,True,True,WIP,True,True,True,False
king_of_the_ether_throne.sol,unchecked_low_level_calls,True,False,WIP,True,True,True,False
lotto.sol,unchecked_low_level_calls,True,True,WIP,True,False,True,True
mishandled.sol,unchecked_low_level_calls,True,True,WIP,True,True,False,True
unchecked_return_value.sol,unchecked_low_level_calls,True,False,WIP,True,False,False,True
